--- Telegram Scrape Report ---
Timestamp: 2025-08-28 00:03:29
Total Channels: 502
Successful Scrapes: 430
Failed Scrapes: 30

--- Channels with Found Configs ---
wedbazvpn: 201 configs
GalaxyMVPN: 200 configs
v2rayngrit: 187 configs
prrofile_purple: 160 configs
appsooner: 151 configs
satellitenewspersian: 146 configs
freakconfig: 136 configs
sockss_http: 134 configs
gh_v2rayng: 117 configs
v2rayng3: 114 configs
armodchannel: 108 configs
outline_vpn: 106 configs
v222ray: 106 configs
v2raycrow: 106 configs
v2raying: 103 configs
mftizi: 100 configs
config_proxy: 93 configs
icv2ray: 89 configs
freevpn3327: 88 configs
v2aryng_vpn: 84 configs
manstervpn: 80 configs
hope_net: 79 configs
qrv2ray: 78 configs
netfreedom0: 76 configs
ai_duet: 75 configs
v2trayproxy: 75 configs
manzariyeh_rasht: 74 configs
v2rayng_1378: 71 configs
freevirgoolnet: 69 configs
mehrosaboran: 69 configs
v2ra_ng_iran: 69 configs
arv2ra: 66 configs
torang_vpn: 63 configs
info_2it_channel: 61 configs
kafing_2: 61 configs
fastfreeconfig: 60 configs
v2ray_sub: 60 configs
evay_vpn: 59 configs
v2rayopen: 58 configs
filterk0sh: 57 configs
melov2ray: 57 configs
mester_v2ray: 57 configs
v2raytg: 57 configs
v2rayngc: 56 configs
free1_vpn: 55 configs
tobevasl: 53 configs
mtproxy22_v2ray: 52 configs
v2ray_youtube: 52 configs
v2rayngconfig: 52 configs
selinc: 48 configs
maradona_vpn: 46 configs
v2rayngconfings: 46 configs
vpnod: 45 configs
itenvpn: 44 configs
free_serverir: 44 configs
v2rayngalpha: 43 configs
proxy48: 42 configs
savagev2ray: 42 configs
sobyv2ray: 42 configs
v2ry_proxy: 42 configs
vpn451: 42 configs
ir_netproxy: 41 configs
jiedianssr: 41 configs
yaney_01: 41 configs
expressvpn_420: 40 configs
dailyv2ray: 40 configs
injectormconf: 40 configs
nepo_v2ray: 38 configs
v2rayza: 38 configs
vipv2rey: 38 configs
ConfigX2ray: 36 configs
vmesskhodam: 36 configs
freev2rng: 35 configs
freenet_melli: 35 configs
proxy_v2box: 34 configs
v2rayngconfiig: 33 configs
frev2rayng: 32 configs
meli_v2rayng: 32 configs
v2ray_v_vpn: 32 configs
x4azadi: 32 configs
vistav2ray: 31 configs
filtershekan_channel: 31 configs
meliconfing: 30 configs
configtrapi: 30 configs
v2ray_sos: 30 configs
shadowproxy66: 29 configs
ShadowProxy66: 29 configs
v2rayprotocol: 29 configs
customvpnserver: 28 configs
mowjproxy: 28 configs
dgkbza: 27 configs
vpn_meliii: 27 configs
Greenvpn2: 26 configs
customizev2ray: 26 configs
jiedianf: 26 configs
canfing_vpn: 25 configs
configfa: 25 configs
itv2ray: 25 configs
megavpn_link: 25 configs
vmessiranproxy: 25 configs
falcunargo: 24 configs
flyv2ray: 24 configs
iran_access: 24 configs
kurd_v2ray: 24 configs
nn_vpn: 24 configs
v2ray1_ng: 24 configs
vpnandroid2: 23 configs
serverv2ray00: 23 configs
v2ray_n: 23 configs
v2ray_collector: 22 configs
v2rayngseven: 22 configs
fastvpnorummobile: 21 configs
server_nekobox: 21 configs
v2rayngn: 21 configs
v2rayy_vpn13: 21 configs
arv2ray: 20 configs
Farah_VPN: 20 configs
nufilter: 20 configs
dailytek: 20 configs
farahvpn: 20 configs
free1ss: 20 configs
free_vpn_for_all_of_us: 20 configs
freev2rays: 20 configs
ip_cf_config: 20 configs
jiujied: 20 configs
key_outline: 20 configs
lockey_vpn: 20 configs
mpproxy: 20 configs
outlinevpn_ru: 20 configs
v2ray_free_conf: 20 configs
vmesc: 20 configs
vmess_ir: 20 configs
vpnfail_v2ray: 20 configs
fastshovpn: 19 configs
ipv2rayng: 19 configs
narco_nett: 19 configs
outline_ir: 19 configs
proxie: 19 configs
proxyfn: 19 configs
red2ray: 19 configs
shadowsockskeys: 19 configs
v2logy: 19 configs
v2ray_vmes: 19 configs
v2raych: 19 configs
vpngate_config: 19 configs
vpnplusee_free: 19 configs
masterserver1: 18 configs
Fr33C0nfig: 18 configs
freedom_config: 18 configs
freev2flyng: 18 configs
garnet_free: 18 configs
jokerv2ray: 18 configs
khoneproxy: 18 configs
narcod_ping: 18 configs
netmellianti: 18 configs
novinology: 18 configs
orange_vpns: 18 configs
proxy_mtproto_vpns_free: 18 configs
v2graphy: 18 configs
v2rayfree: 18 configs
vpn_ioss: 18 configs
zerobaipiao: 18 configs
WarV2Ray: 17 configs
v2ra_config: 17 configs
confing_chanel: 17 configs
freeconfigsplus: 17 configs
guard_revil: 17 configs
jeyksatan: 17 configs
mastervpnshop1: 17 configs
outlinereleasedkey: 17 configs
turboo_server: 17 configs
v2rayvpnchannel: 17 configs
buffalo_vpn: 16 configs
directvpn: 16 configs
goldenshiinevpn: 16 configs
golf_vpn: 16 configs
privatevpns: 16 configs
proxyfull: 16 configs
sobi_vpn: 16 configs
ultrasurf_12: 16 configs
vlessconfig: 16 configs
chanel_v2ray_2: 15 configs
connectshu: 15 configs
fastkanfig: 15 configs
free4allvpn: 15 configs
minovpnch: 15 configs
outlinev2rayng: 15 configs
proxy_net_meli: 15 configs
realvpnmaster: 15 configs
v2rayvmess: 15 configs
v2rayvpn2: 15 configs
v_2ray1: 15 configs
vpn_zvpn: 15 configs
xnxv2ray: 15 configs
sinavm: 14 configs
freeiranianv2rey: 14 configs
freevv2rayng: 14 configs
hoshmasnoiyfarsi: 14 configs
iran_mehr_vpn: 14 configs
proxycrone: 14 configs
qeshmserver: 14 configs
rezaw_server: 14 configs
v2raxx: 14 configs
ghotb_scarf: 13 configs
miov2ray: 13 configs
mtpv2ray: 13 configs
public504: 13 configs
v2rayng_v2_ray: 13 configs
v2rayngninja: 13 configs
v2rayngvpn_1: 13 configs
v_2rayng0: 13 configs
v_2rayngvpn: 13 configs
vmessprotocol: 13 configs
alo_v2rayng: 12 configs
game_file2020: 12 configs
hopev2ray: 12 configs
iranbaxvpn: 12 configs
kkkkkoabvbbvbvv: 12 configs
msv2flyng: 12 configs
nofiltering2: 12 configs
parsashonam: 12 configs
persian_proxy6: 12 configs
v2ray_reality_new: 12 configs
v2rayexpress: 12 configs
v2rayng_ip: 12 configs
ghalagyann: 11 configs
custom_14: 11 configs
foxnt: 11 configs
iranproxypro: 11 configs
kurdistan_vpn_perfectt: 11 configs
net_azad_1: 11 configs
renetvpn: 11 configs
v2rplus: 11 configs
v2ryngfree: 11 configs
vipvpn_v2ray: 11 configs
vp22ray: 11 configs
vpnv2rayonline: 11 configs
lightning6: 10 configs
proxystore11: 10 configs
SafeNet_Server: 10 configs
catvpns: 10 configs
ehsawn8: 10 configs
ge2ray: 10 configs
kurdvpn1: 10 configs
limootuursh: 10 configs
maxvpnc: 10 configs
merdesert: 10 configs
n2vpn: 10 configs
new_proxy_channel: 10 configs
pistachiovpn: 10 configs
pusyvpn: 10 configs
v2ray_iran88: 10 configs
v2rayng_o: 10 configs
v2rayshop_m: 10 configs
vpn_bal0uch: 10 configs
vpn_ocean: 10 configs
configasli: 9 configs
configforvpn01: 9 configs
freev2raym: 9 configs
grizzlyvpn: 9 configs
lemonshopvpn: 9 configs
mimitdl: 9 configs
mt_proxy: 9 configs
oonfig: 9 configs
outlineopenkey: 9 configs
pro_chaneel: 9 configs
shahedtec: 9 configs
v2ray_fark: 9 configs
v2ray_inter: 9 configs
v2raybe: 9 configs
v2rayn5: 9 configs
v2rayturbo: 9 configs
vpncostumer: 9 configs
wbrovers: 9 configs
isvvpn: 8 configs
ch_a2l: 8 configs
eliteproxyv2: 8 configs
gervpn: 8 configs
goodbyefiltering: 8 configs
imhdiyvp: 8 configs
iraniv2ray: 8 configs
iranvipnet: 8 configs
lakvpn1: 8 configs
tehranfreevpn: 8 configs
v2ang: 8 configs
v2ray4win: 8 configs
vip_vpn_2022: 8 configs
vpncostume: 8 configs
xsv2ray: 8 configs
vpnkanfik: 7 configs
DailyV2Config: 7 configs
dargiiriis: 7 configs
elfv2ray: 7 configs
free_vip3: 7 configs
hackmodvpnservers: 7 configs
iranbfilter: 7 configs
mrvpn1403: 7 configs
tc_v2ray: 7 configs
teamvpnpro: 7 configs
tiny_vpn_official: 7 configs
v2rayang201: 7 configs
v2rayngchannelll: 7 configs
vaynora: 7 configs
vboxpanel: 7 configs
xrayzxn: 7 configs
argo_vpn1: 6 configs
configms: 6 configs
deragv2ray: 6 configs
fati_ffx: 6 configs
free_omega: 6 configs
freenapsternetv: 6 configs
ghalagyann2: 6 configs
kopltall_vpn: 6 configs
lranonline_new: 6 configs
mainmat: 6 configs
nofilter_v2rayng: 6 configs
prooxyk: 6 configs
rnrifci: 6 configs
v2rayngfreee: 6 configs
vaslbemmonid: 6 configs
vpnfastservice: 6 configs
vpnfree_irann: 6 configs
configsstore: 5 configs
configv2rayforfree: 5 configs
confingv2raay: 5 configs
dashv2ray: 5 configs
father_vpn: 5 configs
freeshadowsock: 5 configs
freevmess: 5 configs
hormozvpn: 5 configs
jedal_vpn: 5 configs
kingofilter: 5 configs
mahdivpn2: 5 configs
mahsaproxy: 5 configs
netazadchannel: 5 configs
next_serverpanel: 5 configs
tgvpn6: 5 configs
vipnetmeli: 5 configs
vpn_proxy_v2ry: 5 configs
womanlifefreedomvpn: 5 configs
dalton_ping: 4 configs
